IPMC |  All Questions ,,,,,,,,,,,,,,,
No.,Questions,Answer A,Answer B,Answer C,Answer Correct,Feedback,Questions Ar,Answer A Ar,Answer B Ar,Answer C Ar,Answer Correct Ar,Chapter,Process Group,Free Quiz,Exam No.
78,"Haitham is managing a software development project. The buyer of the product is an external entity. During the project?s execution, Haitham finds that a new operations manager was hired in the customer organization. The new manager is now a key stakeholder. Which of the following documents is least likely to be updated because of the addition of this new stakeholder?",Stakeholder register,Risk register,Stakeholder engagement plan,Issue log,"The stakeholder register must be updated since a new project stakeholder has joined the project. Changes to the stakeholder engagement plan might also be required to ensure that the new key stakeholder is properly engaged with the project. Addition of a new key stakeholder might bring some additional uncertainty to the project; this should be recorded in the risk register. The issue log is least likely to be updated in this case since no new issue has emerged. [PMBOK 6th edition, Page 507]",,,,,,Stakeholder,Planning,,5
41,"A project manager must stress the importance of collecting and documenting lessons learned through the project lifecycle. One good way to collect this information is during weekly status meetings. Usually, weekly status meetings, if not managed properly, end up in firefighting since most of the time, attention goes to the burning issues. How can you ensure that the lessons-learned gathering does not get missed in such a situation?","Record the minutes of the
meeting","Do not discuss burning issues
in weekly status meetings",Replace status update meetings with one-on-one meetings with the team members,Add a lessons-learned agenda item,"A good approach is to add a lessons-learned agenda item to the meeting. As the meeting progresses to the point where you?re ready to collect lessons-learned information, ask each team member about his or her positive and negative experiences for the week. Don?t mention the words ?lessons learned? to them; just capture what went right and wrong from every team member. Do your best to prevent this part of the meeting from devolving into a complaint session. [PMBOK 6th edition, Page 379] [PMI best practice]  ",,,,,,Communication,Executing,,2
80,"As part of the Estimate Costs process, a project manager obtained access to certain commercially available databases to get resource cost rate information. Such published commercial information is considered what type of input?",Historical information,Organizational process asset,HR Input,Enterprise environmental factor,"Such published commercial information is considered part of enterprise environmental factors that influence the Estimate Costs process. [PMBOK 6th edition, Page 243]",,,,,,Cost,Planning,,2
49,Ali is in the execution phase of his project. He is getting unexpected requests from his stakeholders about the project?s progress. Ali can use all the following to respond to their requests except:,Communications management plan,Organizational process assets,Work performance reports,Business case,"Since Ali is in the execution phase and stakeholders are requesting project information, he must respond through the Manage Communications process. The communications management plan, organizational process assets and work performance reports are inputs to this process. Ali can use any of these documents to respond to their requests. The project's business case is not of much help at this stage. [PMBOK 6th edition, Page 379]",,,,,,Communication,Executing,,3
43,The term Progressive Elaboration incorrectly represents which of the following?,Rolling wave planning,"Detailing out the product
requirements developed during
the initiation process",Production of fabrication and construction drawings from the design drawings for a chemical plant.,Changes to project scope,"The distinction between progressive elaboration and scope creep needs to be understood since the two terms are different. The changes to scope (especially in an uncontrolled manner) are called scope creep. In contrast, progressive elaboration involves building on or elaborating the output of a previous phase. [PMBOK 6th edition, Page 185] ",,,,,,Schedule,Planning,,4
34,"A contractor is currently constructing a new building for your organization on a cost-plus-incentive contract. You just received the project status report from the contractor?s project manager. According to the report, the project?s CPI is 1.5. You are shocked because you believe the project costs are out of control. Upon investigation, you learn the $1 million advance payment (20 percent of the estimated project cost) given to the contractor at the start of the project was included in the project?s earned value. Further, the cost of the inventory at the project site was excluded from the total actual costs. According to the contract, your company reimburses only the costs for the completed deliverables and not for the supplies in the project?s inventory. In this scenario, the reported project?s CPI is incorrect because:",Actual cost is understated,"Earned value is overstated, and actual cost is understated",Both the earned value and the actual cost are overstated,Earned value is overstated.,"In this scenario the earned value has been overstated while the reported actual cost is ok. Earned value should be the sum of PVs of all completed activities. The initial 20% advance should not be part of this. Further, since the buyer is not liable for the inventory cost and only reimburses the costs associated with completed deliverables, the cost of the inventory does not become part of the actual cost until that inventory is consumed during the construction process. The inventory is an asset for the contactor until it is consumed on the project and at that time it becomes a cost for the project. [PMBOK 6th edition, Page 267]",,,,,,Cost,Monitor & Control,,5
63,"No matter how good you are in communicating, information distribution to stakeholders as planned is a challenging task. Many tools and techniques are used during the Manage Communications process except:",Project reporting,Communication technologies,Communication skills,Work performance reports,"The work performance reports are inputs to the Manage Communications process. The other choices are the valid tools and techniques of the Manage Communications process. [PMBOK 6th edition, Page 379]",,,,,,Communication,Executing,,3
151,"During execution, a project manager identifies a major obstacle that is delay progress. An escalation to the client's project manager has gone unanswered, and project progress is worsening each week. What should the project manager do? ",Inform the supervisor of the client's project manager,"Follow the escalation matrix in the project management plan, and escalate it to the next level",Escalate the issue directly to the steering committee,Revise the communication management plan,"Since (Escalation has gone unanswered), so its a communication issue and the project manager should revise the communication management plan because its contains the escalation processes with person or groups who will receive the information, methods or technologies used to convey the information, such as memos, email, press releases, or social media and method for updating and refining the communications management plan. [PMBOK 6th edition Page, 377] ",,,,,,Communication,Executing,,4
53,"A project manager has just started planning his project. If he has only limited information about the project, he should use the following technique to estimate the duration for each activity using historical data from a similar project:",Four-point estimating,Three-point estimating,Parametric estimating,Analogous estimating,"When there is a limited amount of information available about a project, analogous estimating is used to estimate the activity durations. This estimating technique uses parameters such as budget, complexity and size from previous projects to estimate the duration. [PMBOK 6th edition, Page 200] ",,,,,,Schedule,Planning,,5
1,"You have been appointed as a project manager for a new project. After several months, you find that the accounting department has reject all charges because the project was not approved. What should the project manager have done to prevent this? ",Obtained the fund needed to start the project,Planned the resources necessary to start the project ,Verified that the business case was authorized by the project initiator ,Get the project charter approval from the project sponsor,"The sponsor or initiator of the project Is responsible to establish (approve and issue) the charter and can take the help of the prospect project manager to develop it. The project manager should obtain the project charter approval from the project sponsor because the project charter is a document that formally authorizes the existence of a project al d provides the project manager with the authority to apply organizational resources to project activities. [PMBOK 6th edition page, 75].",,,,,,Integration,Initiating,,2
21,"During the planning phase of your project, the project and product requirements have been identified by the project team. Which of the following tools and techniques will be used to accomplish this? ","Network diagram, benchmarking, and project scope statement.","Mind mapping, affinity diagram, and brainstorming.","Observations conversations, trend analysis, and work breakdown structure (WBS).","Observations conversations, benchmarking, and affinity diagram.","You can easily remove two options that include Network Diagram and WBS. Also, Mind mapping and Brainstorming both used to generate new ideas so not a good choice. So tools to Identify the project and product requirements are Observations Conversations, Benchmarking, and Affinity Diagram. [PMBOK 6th edition page, 142]",,,,,,Scope,Planning,,1
163,"You are the project manager of a Construction project. The project sponsor has information about the project which is behind schedule and over budget, but he wants more details about the progress of the project. As a project manager, what should you provide to the project sponsor about the status of the project? ",Work performance information ,Work performance data ,Earned value report ,Work performance report ,"Sponsor know that the project are behind schedule and over budget, so he knows Earned Value report, in this case the project manager should provide the sponsor with (Work performance report) because it includes status reports and progress reports. [PMBOK 6th edition, Page 382] ",,,,,,Communication,Executing,,5
167,"A stakeholder informs the project manager that they don't receive the weekly project status reports, even though they participated in the project kick-off meeting. What should the project manager do? ",Forward the latest report to this stakeholder. ,Adjust the stakeholder register to include this stakeholder ,Escalate this issue to the project sponsor. ,Review the communication management plan. ,"Since the stakeholder didn't receive the reports, the project manager should review the communication management plan because its contain the person or groups will receive the information, stakeholder communication requirements, reason for the distribution of that information, time-frame, and frequency for the distribution of required information. [PMBOK 6th edition Page, 377]",,,,,,Communication,Executing,,4
37,The Control Procurements process receives a very important input from the Direct and Manage Project Work process. Which one is it?,Approved change requests,Procurement documents,Agreements,Work performance data,"Work performance data is provided to the Control Procurements process by the Direct and Manage Project Work process. [PMBOK 6th edition, Page 493]",,,,,,Procurement,Monitor & Control,,1
59,"You are working as a project manager for a high-yield crop development project. Data from the weather agency shows an unfavorable weather pattern for the next few months. As a senior project manager, you want to assess the schedule?s feasibility under adverse conditions and provide some insights to your team. That way, your team can prepare some reserves and plan risk responses if unfavorable conditions exist during execution. Which of the following techniques should you use to simulate risks and other sources of uncertainty to calculate possible schedule outcomes?",Pareto charts,Variance analysis,Crashing,Monte Carlo analysis,"Modeling techniques are used to prepare a schedule under various scenarios. These techniques help assess the feasibility of the project schedule if adverse conditions exist. The Monte Carlo technique employs simulation to calculate multiple project durations, each with a different set of activity assumptions using a probability distribution. [PMBOK 6th edition, Page 213] [Project Schedule Management]",,,,,,Schedule,Planning,,1
39,What does a Cost Performance Index (CPI) of more than 1.0 indicate?,The project is over budget,The project is right on budget,"The project is ahead of
schedule",The project is under budget,"The CPI is calculated as the earned value divided by the actual cost. An index of greater than one indicates that you have spent less than you forecasted to this point. [PMBOK 6th edition, Page 263]",,,,,,Cost,Monitor & Control,,4
31,Which of the following components of a project scope statement is useful in reducing scope creep?,Acceptance criteria,Deliverables,Scope description,Exclusions,"Project exclusions identifies what is excluded from the project. Explicitly stating what is out of scope for the project helps manage stakeholders? expectation and can reduce scope creep. Other choices cannot help more in this regard. [PMBOK 6th edition, Page 154]",,,,,,Scope,Planning,,2
44,"While analyzing a project, the project manager calculated the ratio of the Earned Value (EV) to the Actual Costs (AC) and obtained a value of 1.2. The project manager decided this was an unfavorable condition for the project and decided to take corrective action. What is your view?",The project manager is correct. The ratio of EV to AC is the Cost Performance Index and a ratio greater than 1 is unfavorable to the project,The project manager is not correct. The ratio of EV to AC is the Cost Variance and a ratio greater than 1 is favorable to the project,The project manager is correct. The ratio of EV to AC is the Cost Variance and a ratio greater than 1 is unfavorable to the project,The project manager is not correct. The ratio of EV to AC is the Cost Performance Index and a ratio greater than 1 is favorable to the project,"The project manager is not correct. Cost Performance Index (CPI) is the ratio of EV to AC. A value greater than one represents a favorable condition for the project. The project manager has misinterpreted the situation. [PMBOK 6th edition, Page 263]
",,,,,,Cost,Monitor & Control,,5
46,"Ahmad has worked for a retail company as a project manager. With his positive thinking and strong managerial skills, he turned many potentially disastrous projects into successes. Because of his expertise, his employer?s senior executives offered him a group project manager position for a newly started environmental project. However, Ahmad learned that, in his newly assigned project, he might have to offer bribes to obtain government licenses. What should Ahmad do in such a situation?",Accept the offer because project managers must obey their higher-ups,Accept the position and offer bribes because project managers must complete projects on time and within budget,Investigate to find out if it is customary to offer bribes in that part of the country,Reject the offer because project managers should not engage in an unethical conduct,"Project managers must adhere to the code of ethics and professional conduct. They must maintain fairness and honesty. Since the new job requires some illegal and unethical activities, Ahmad must reject the offer. [PMI code of Ethics and Professional Conduct] [Prof. Responsibility][PMBOK 6th edition, Page 3]",,,,,,Integration,Initiating,,3
60,"You are managing a heavy equipment manufacturing project that involves many mechanical, electrical, and IT staff. Your team prepared a schedule network diagram using duration estimates with dependencies and constraints. Your team also calculated the critical path for the project using late and early values. Today, your project office has indicated to you that some of the resources you had planned for the project will be unavailable. To deal with this, you explore the possibility of modifying the schedule to account for limited resources. What is your best possible step in such a situation?",Perform Resource Leveling to account for limited resources,Use crashing or fast tracking to level resources across the project,Apply leads and lags to develop a viable schedule,Recalculate critical path after applying the resource constraints,"The critical path method is used to prepare a schedule network diagram. A network diagram is prepared initially, and the critical path is then calculated. Availability of resources is entered, and a resource limited schedule is prepared. Hence, recalculating the critical path using the critical path method after applying the resource constraints is the next best step. [PMBOK 6th edition, Page 210]",,,,,,Schedule,Planning,,2
50,Salwa has to brief her key project stakeholders on the recent approved changes to the project scope. Which of the following project documents will provide essential input to Salwa for preparing her presentation?,Change request form,Change control procedures,Issue management procedures,Change log,"The change control procedure and the issue management procedure are organizational process assets. They do not document the details of the recently approved project changes. Lucy can find all the essential inputs for her presentation in the project change log. [PMBOK 6th edition, Page 120]",,,,,,Integration,Monitor & Control,,4
6,"While creating the probability and impact matrix, what should the project manager and his team consider to support the project risk analysis? ",Project scope and project deliverables.,Project quality and resources.,Contingency reserve for budget and schedule.,Possible effects on the objectives of the project. ,"The most important element that should the team and project manager consider while creating the probability and Impact matrix Is the Possible effects on the objectives of the project by taking the highest priority level regardless of which objective Is affected. [PMBOK 6th edition page, 425]
",,,,,,Quality,Planning,,1
181,A project manager joins a global project that will be supported by virtual teams in different time zones. How should the project manager share information in this situation? ,Review the responsibility assignments matrix (RAM) to understand the virtual teams' roles ,Use the resource breakdown structure (RBS) to set up the virtual teams. ,Communicate the work breakdown structure(WBS) to the virtual team members. ,Employ project communication and technical tools to adapt to the virtual teams. ,"The Project manager will share Information by employ project communication and technical tools to adapt to the virtual teams. The other options are not useful in this situation. [PMBOK 6th edition page, 379]",,,,,,Communication,Executing,,5
182,A functional manager for the organization is also the direct supervisor for one of the team members on a current project. The functional manager requests that the project manager provide a weekly summary of the team member's work performance. The functional manager and the project manager are not in the same geographical area. What should the project manager do? ,Make a phone call at the end of the week to quickly debrief the functional manager on the tasks performed. ,Hold a weekly meeting with the functional manager to review the tasks performed. ,Deny the functional manager's request and escalate the situation to the steering committee. ,Draft a weekly email to the functional manager with a short list of the tasks performed. ,"Since the functional manager and the project manager are not in the same geographical area, and the functional manager requests a weekly summary of the team member's work performance from PM. Therefore, FM not requested a phone call or a weekly meeting, and it's not good practice to deny the functional manager's request and escalate the situation to the steering committee. So the project manager should draft a weekly email to the functional manager with a short list of the tasks performed. [PMBOK 6th edition page, 379]",,,,,,Communication,Executing,,4
184,"A project manager is meeting with the steering committee to obtain approval to deploy a develop software solution. After ten minutes of explaining why the solution is ready for deployment, the project manager is told to better prepare and return with more facts. What should the project manager do to improve their approach? ",Email the steering committee explaining why the solution is ready for deployment. ,Ask the sponsor to directly obtain approval from the steering committee. ,Ask the project administrator to explain that user acceptance testing was completed then present this to the steering committee.,Review the communication management plan and present that all deliverables have been developed and are ready for deployment. ,"Review the communication management plan and present that all deliverables have been developed and are ready for deployment. [PMBOK 6th edition page, 379]",,,,,,Communication,Executing,,5
109,Which of the following items can be defined by creating the Cost Management Plan of a project? ,Level of accuracy and Work Packages ,Rules of Performance Measurement and Rewards ,Units of Measure and Quality Metrics ,Control Thresholds and Units of Measure ,"A Cost Management Plan defined the Control Thresholds and Units of Measure. Control Thresholds are typically expressed as a percentage of deviation from the baseline. Units of Measure is defined as units used to measure the project cost. [PMBOK 6th edition, Page 238] ",,,,,,Cost,Planning,,3
51,"You have recently taken over a troubled automobile project, which has gone out of control. The project team missed many deadlines, and stakeholders were displeased with the project?s progress. As an experienced project manager, your first priority is to align the schedule with the project plan. You would like to use what-if scenario analysis to see how various factors affected the project schedule so you can develop a plan to reduce the impact of adverse conditions on the project schedule in the future. What would be your next course of action be, once you determine the factors that created schedule overruns?",Prepare a resource breakdown structure to identify resources used,Update activity lists to incorporate new activities into the schedule,Develop project schedule network diagrams to determine the total slack,Generate change requests for a corrective action,"You are in the process of determining the status of the project schedule and investigating the factors that caused schedule changes. From this scenario, you are currently in the Control Schedule process. What-if analysis is used in the Control Schedule process to see how various factors influence the schedule. One output of this process is to generate change requests to correct the schedule. Hence, you should generate a change request for the required corrective action. [PMBOK 6th edition, Page 229] 
",,,,,,Schedule,Monitor & Control,,3
203,"The Company CEO is asking you to make a presentation on your project, which has been in progress for 18 months to over 50 identified internal and external stakeholders. You have been conducting such presentations and holding meetings regularly on this critical project. You should begin by?
","Deciding on the general form of the presentation 
",Determining the objective ,"Defining the audience 
 ","Circulating issues to be discussed 
","In the regular meeting, the Project manager should First begin to present the issues to be discussed. [PMBOK 6th edition, Page.383]",,,,,,Communication,Executing,,4
36,The Requirements Traceability Matrix helps in tracing all the following except:,"Requirements to project
objectives",Requirements to project scope,Requirements to test strategy,Requirements to project risk,"Requirements Traceability Matrix is an output of the Collect Requirements process. It is used for tracing requirements to project scope, objectives, and test strategy. Tracing requirements to project risk is not a valid use. [PMBOK 6th edition, Page 149]",,,,,,Scope,Planning,,3
20,"You are managing a IT project. After identifying risks, you start the qualitative risk analysis process and now you are going to prioritize them. Which of the following techniques you are going to use? 
",Tornado diagram.,Scatter diagram.,Sensitive analysis.,Probability and impact matrix. ,"After Identifying risks, your next step will be to prioritize them. To do so you will use the probability and impact matrix. [PMBOK 6th edition. Page 408]",,,,,,Risk,Planning,,1
74,"Fatimah can bid on two projects. Project A has a 50 percent return on investment while Project B has a 20 percent return on investment. Project A?s scope of work is complex, and Fatimah?s organization does not have the necessary skills and experience to do this project. However, Project B?s scope of work falls within the strengths of Fatimah?s organization. Which project must Fatimah bid on?",None as this is a conflict of interest situation,Both since the overall profit will be higher,Project A since the return on investment is the highest,Project B since the organization has the required skills,"Fatimah must not bid on Project A since her organization lacks the required skills and experience. This leaves her with only Project B to bid on. Project managers are mandated by the PMI's code of ethics and professional conduct to accept only those assignments that are consistent with their background, experience, skills and qualifications. [PMI Code of Ethics & Professional Conduct] [Prof. Responsibility]",,,,,,Integration,Initiating,,4
311,A recently promoted project manager must mange the weekly status update meeting. What should the project manager do to ensure a productive meeting? ,Limit attendance to the project team and stakeholders ,Avoid or smooth over any disagreements ,Carefully read the latest meeting minutes ,Circulate a defined agenda in advance ,"Meeting management is taking steps to ensure meetings meet their intended objectives effectively and efficiently. The following steps should be used for meeting planning: "" Prepare and distribute the agenda stating the objectives of the meeting. ""? Ensure that the meetings start and finish at the published time. Ensure the appropriate participants are invited and attend. "" Stay on topic. "" Manage expectations, issues, and conflicts during the meeting. "" Record all actions and those who have been allocated the responsibility for completing the action. [PMBOK 6th edition page, 386]",,,,,,Communication,Executing,,5
52,"You are in the Validate Scope process of your electronic goods manufacturing project. While reviewing some products, you have noticed that the tolerance for one product is 0.01 percent less than what was listed in the requirements documentation. This deviation may not be a problem for the customers, and it may not impair the product?s operation. What is your best immediate action in such a situation?",Change the project management plan to allow for small deviation,Reject all products and restart the project,Discuss with your team about the quality testing,Notify the stakeholders about the deviation,"When you find a defective product, you must notify stakeholders immediately even if the deviation may not affect customers. As a project manager, you must maintain honesty and should not hide facts. After notifying the stakeholders, the project manager must discuss the issue with the team and change the project management plan based on the stakeholders? inputs. [PMI Code of Ethics and Professional Conduct] [Prof. Responsibility]",,,,,,Scope,Monitor & Control,,2
427,A stakeholder with a high degree of impact now requires more detailed project reports. What should the project manager do? ,Meet with the project sponsor to discuss the issue. ,Escalate the issue to the project management office. ,Work with the project team to prepare a new project charter. ,Work with the project team to update the communication management plan. ," Since the stakeholder with a high degree of impact requires more detailed project reports, the project manager should work with the project team to update the communication management plan because it includes the stakeholder communication requirement , Information to be communicated, including language, format, content, and level of detail. PMBOK 6th edition page, 377 ",,,,,,Communication,Executing,,4
54,You just completed the first phase of a multi-phase project. You have calculated earned value measurements and found that the current CPI is 0.79 and the current SPI is 0.98. Your next phase plan should focus first on which element of the project:,Quality,Resources,Schedule,Cost,"A Schedule Performance Index (SPI) of less than one indicates that less work has completed than planned, and a Cost Performance Index (CPI) of less than one indicates a cost overrun for the work completed. In this scenario, the cost overrun is more severe than the schedule delay. Therefore, you should focus on reducing the cost of the project. [PMBOK 6th edition, Page 263]",,,,,,Cost,Monitor & Control,,4
434,You are a project manager managing a decoration project. Your project team sent confidential information to the subcontractor by mistake. What could have prevented this situation?,Reviewing the stakeholder engagement Plan ,Reviewing the Scope management Plan ,Review stakeholder register ,Reviewing the Communication management Plan ," The communications management plan is a component of the project management plan that describes how project communications will be planned, structured, implemented, and monitored for effectiveness. The plan contains the following information: Person responsible for authorizing the release of confidential information; Stakeholder communication requirements; Escalation processes; Timeframe and frequency for the distribution of required information and Person responsible for communicating the information. [PMBOK 6th edition, Page 377] ",,,,,,Communication,Executing,,5
455,"You are a project manager for an construction project. During the implementation phase, you found that there is a great opportunity and you decide to transfer the ownership of an opportunity to a third party so that it shares some of the benefits if the opportunity occurs. Therefore, a joint venture was made with another company to catch these benefits. Now, you became responsible for the project as a whole. What will your next step be? ",Update Resource Management Plan ,Update Project Team Assignment ,Update Cost Management Plan ,Update Communication Management Plan ," Due to a joint venture was made So next step should be updated communication management plan because its contains Stakeholder communication requirements , Information to be communicated, including language, format, content, and level of detail, Timeframe and frequency for the distribution of required information and receipt of acknowledgment or response. [PMBOK 6th edition, Page 387] ",,,,,,Communication,Executing,,4
57,Your project team has recently identified a risk in the software development project and decided not to change the project management plan to deal with the risk. The risk response strategy that your team used in this scenario is an example of:,Mitigate,Transfer,Avoid,Acceptance,"When risks cannot be handled or managed in a project, it is advisable to accept them. In this scenario, your team is unable to devise a suitable response strategy. Hence, risk acceptance is the correct strategy to employ. [PMBOK 6th edition, Page 443]",,,,,,Risk,Planning,,2
122,"As a project manager, what is the estimating technique should be used to estimate a project cost using a firm-fixed-price contract? ",Parametric Estimating ,Analogous Estimating ,Program Evaluation and Review Technique (PERT) ,Bottom-up Estimating ,"Bottom-up Estimating will give you the most accurate estimates as it's required if using firm-fixed-price contract type.  [PMBOK 6th edition, page 244]",,,,,,Cost,Planning,,4
82,Which of the following is not an example of parametric estimating?,Activity duration estimated based on the number of drawings multiplied by the number of labor hours per drawing.,Activity duration estimated based on the number of labor hours per meter for cable installation.,Activity duration estimated based on the square footage in construction.,"Activity duration estimated based on the actual duration of a similar, previous project.","Estimated activity duration based on the actual duration of a previous similar project is an instance of analogous estimating. The other three choices are examples of parametric estimating. [PMBOK 6th edition, Page 200]",,,,,,Schedule,Planning,,3
42,Which document describes the project's deliverables and the work required to create those deliverables?,Project authorization document,"Project scope management
plan",Project charter,Project scope statement,"The project scope statement is the correct response. This document describes the project's deliverables in detail and the work that is required to create those deliverables. It also forms the baseline for evaluating whether requests for changes are within or outside the project's boundaries. [PMBOK 6th edition, Page 154] ",,,,,,Scope,Planning,,4
84,A project charter that formally authorized a project was created. The project charter documented the initial requirements to satisfy stakeholders' needs and expectations. How often should the project charter be revised?,"At the beginning, middle, and end of a project",Once a month,As required by the PMO,Project charter is usually not updated during the course of the project.,"The project charter is a high-level document that authorizes a project. It documents a broad understanding of the project and does not need to be updated during the course of the project. [PMBOK 6th edition, Page 75] ",,,,,,Integration,Initiating,,5
88,A project can be authorized by any of the following except:,The PMO,The sponsor,The portfolio steering committee,The project manager,"Projects are authorized by someone external to the project such as a project sponsor, project management office (PMO), or portfolio steering committee. A project manager does not authorize the project. [PMBOK 6th edition, Page 77] ",,,,,,Integration,Initiating,,3
127,You have been asked by your project manager to help create a chart that illustrates the project resources that will be working on each work package. What would be the best type of chart to use? ,WBS ,Milestone chart ,Project organization chart ,RACI chart ," A RACI chart is used to illustrate the connections between work packages, or activities, and project team members. A RACI chart is a useful tool to use to ensure a clear assignment of roles and responsibilities when the team consists of internal and external resources. [PMBOK 6th edition, Page 317] ",,,,,,Resource,Planning,,3
61,"You are working with your customers on completing deliverables in your electronic parts manufacturing project. Since these parts will be exported to other countries, they will need more testing before your customers accept them. In this scenario, which of the following statements about the completed deliverables is correct?
",Completed deliverables not accepted by customers must be forwarded to the close project or phase process.,Deliverables formally accepted by customers must be moved to organizational process assets.,Deliverables formally accepted by customers are forwarded to the validate scope process.,Completed deliverables not accepted by customers must require a change request for defect repair.,"Validate Scope is the process of formalizing the acceptance of finished deliverables. In this process, stakeholders or customers give formal acceptance of the completed deliverables. The accepted deliverables are forwarded to the Close Project or Phase process. If there are any completed deliverables that they do not accept, a change request for defect repair must be initiated. [PMBOK 6th edition, Page 166] ",,,,,,Scope,Monitor & Control,,3
62,All the following are tools of the Control Schedule process except:,Critical Path Method,Schedule compression,Leads and lags,Parametric estimating,"Leads and lags, schedule compression and critical path method are tools in the Control Schedule process. Parametric estimating is not a tool of this process. [PMBOK 6th edition, Page 222]",,,,,,Schedule,Monitor & Control,,5
475,"A project has a senior stakeholder whose input is important, and who needs to be kept informed about the project's status. Rather than receive updates from the project manager, this stakeholder prefers to contact a team member directly. The stakeholder has a connection with this team members that is unrelated to the project and thinks that this is a way to obtain information on the project's true status. What should the project manager do? ",Keep the team member properly informed about project status so that the stakeholder receives the same information from both sources. ,"Leave the connection in place, since the information coming via the team member is unofficial and will not create problems. ","Tell the team member not to accept calls from the stakeholder, because these calls have an adverse effect on the team member's productivity. ",Ask the stakeholder how the additional information that they feel is missing from current communications may be provided. ,"The best answer is to ask the stakeholder how the additional information that they feel is missing from current communications may be provided, in order to update the Communication Management Plan. [PMBOK 6th edition, Page 379] ",,,,,,Communication,Executing,,5
114,"As a project manager, you are working on high rise building project. You are struggling to arrange your first meeting with project resources. What should you do to ensure resource collaboration? ",Obtain the general manager's authorization,Obtain Business case approval from the project sponsor,Meet with each stakeholder individually,Obtain project charter approval,"The project charter is the document issued by the project initiator or sponsor that formally authorizes the existence of a project and provides the project manager with the authority to apply organizational resources to project activities. [PMBOK 6th edition Page, 81]",,,,,,Integration,Initiating,,4
138,Main Sponsor is really interested in reviewing the key performance indicators of the project. Where will you find this information for the project? ,KPI is part of the change control tool ,KPI can be part of organizational process assets ,KPI is included in the project charter in the business case section ,KPI is included in the project charter as success criteria ,"KPI is an Enterprise Environmental Factors EEF, so it as input in developing the project charter process. it will be part of measurable project objectives in the Project Charter. [PMBOK 6th edition, Page 75] ",,,,,,Integration,Initiating,,5
493,A recently promoted project manager must facilitate the monthly status update meeting. What should the project manager do to ensure a productive meeting? ,Limit attendance to the project team and stakeholders ,Avoid or smooth over any disagreements ,Carefully read the latest meeting minutes ,Circulate a defined agenda,"Meeting management is taking steps to ensure meetings meet their intended objectives effective and efficiently. one of the important steps is to prepare and distribute the agenda stating the objectives of the meeting. [PMBOK 6th edition, Page 386]",,,,,,Communication,Executing,,4
87,"A project manager needed to shorten a project schedule and decided to employ crashing, a schedule compression technique. Which of the following activities would not be an example of crashing?",Paying to expedite delivery activities,Bringing in additional resources,Approving overtime,Reducing project scope,"Schedule compression techniques such as crashing and fast tracking shorten the project schedule without changing the project scope. Approving overtime, bringing in additional resources and paying to expedite delivery activities are valid examples of crashing. Reducing project scope is not a valid example of crashing. [PMBOK 6th edition, Page 215]",,,,,,Schedule,Planning,,4
65,_______________ is the authorized budget for the work scheduled to be completed on an activity or WBS component.,Earned value,Midpoint cost,Interim cost,Planned value,"Planned value is the budgeted cost of the work scheduled to be completed on an activity or WBS component up to a given point in time. [PMBOK 6th edition, Page 261]",,,,,,Cost,Monitor & Control,,5
90,Decision tree analysis is used to calculate the average outcome when the future includes scenarios that may or may not happen. What are a decision node?s inputs and outputs?,Input: Cost of each decision; Output: Probability of occurrence,Input: Scenario probability; Output: Expected Monetary Value (EMV),Input: Cost of each decision; Output: Payoff,Input: Cost of each decision; Output: Decision made,"Decision tree analysis is used to calculate the average outcome when the future includes scenarios that may or may not happen. In a decision node, the input is the cost of each decision and the output is a decision made. [PMBOK 6th edition, Page 435]",,,,,,Risk,Planning,,3
555,"As you are project manager managing project, in which of the following techniques are used to determine the type, format of information needed and the communication needs of the project stakeholders? ",Communication models ,Communication Method; ,Root Cause Analysis ,Communication requirements analysis ," Analysis of communication requirements determines the information needs of the project stakeholders. These requirements are defined by combining the type and format of information needed with an analysis of the value of that information. [PMBOK 6th edition, Pages 369] ",,,,,,Communication,Executing,,5
144,Which of the following project processes would you use to monitor the implementation of approved changes? ,Control Scope ,Perform Integrated Change Control ,Validate Scope ,Monitor and Control Project Work ,"During the Monitor and Control Project Work process, all project work is monitored and controlled, including approved changes and defect repairs. [PMBOK 6th edition, Page 107] ",,,,,,Integration,Initiating,,3
102,"You and your team have compiled your project's activity list, determined how the activities should be performed, and analyzed the schedule. You are preparing information for the project sponsor to highlight the identified activities that may create a delay in the overall project schedule. Which of the following would be most useful in this situation? ",Project calendars ,Activity attributes ,Duration estimates ,Project schedule network diagrams ,"In this question, project network diagrams would best serve to provide information concerning activities that would possibly create schedule delays. A project network diagram is one of three suggested project schedule models. At a minimum, a project schedule should include planned start dates and planned finished dates for each activity. Network diagrams which include activity date information and critical path activities, display has those activities logically relate to other activities and overall project timeline. A detailed network diagram that includes critical path activities, durations, milestones, and resources could be useful in this situation to highlight the activities that may create a delay in the overall project schedule. [PMBOK 6tha edition, Page 194) ",,,,,,Schedule,Planning,,5
